risk_id,project_id,risk_category,risk_description,probability,impact,risk_score,risk_level,risk_owner,mitigation_plan,status,date_identified,is_open_risk,is_high_risk,is_escalated,open_risk_score
RISK-PMO-0069-01,PMO-0069,Scope,Key stakeholder decisions may be delayed.,4,2,8,Medium,Noah Rhodes,Coordinate mitigation with cross-functional stakeholders.,Accepted,2026-07-07,True,False,False,8
RISK-PMO-0069-02,PMO-0069,Resource,Data quality issues may delay reporting readiness.,5,3,15,High,Noah Rhodes,Increase reporting cadence until risk is reduced.,Accepted,2026-07-07,True,True,False,15
RISK-PMO-0070-01,PMO-0070,Budget,Required resources may not be available on time.,3,3,9,Medium,Gina Moore,Review budget and timeline impact with sponsor.,Closed,2025-06-30,False,False,False,0
RISK-PMO-0070-02,PMO-0070,Resource,Supplier response time may affect delivery dates.,4,1,4,Low,Gina Moore,Create corrective action plan with target completion date.,Open,2025-07-18,True,False,False,4
RISK-PMO-0071-01,PMO-0071,Technology,Required resources may not be available on time.,3,2,6,Medium,Ryan Munoz,Validate assumptions with process owners.,Closed,2026-02-12,False,False,False,0
RISK-PMO-0071-02,PMO-0071,Budget,Project scope may expand beyond the original baseline.,5,3,15,High,Ryan Munoz,Validate assumptions with process owners.,Escalated,2026-01-05,True,True,True,15
RISK-PMO-0072-01,PMO-0072,Technology,Data quality issues may delay reporting readiness.,5,3,15,High,Allison Hill,Validate assumptions with process owners.,Escalated,2025-11-06,True,True,True,15
RISK-PMO-0072-02,PMO-0072,Technology,Data quality issues may delay reporting readiness.,5,1,5,Low,Allison Hill,Review budget and timeline impact with sponsor.,Closed,2025-10-01,False,False,False,0
RISK-PMO-0072-03,PMO-0072,Scope,Process owners may not complete validation on schedule.,1,5,5,Low,Allison Hill,Coordinate mitigation with cross-functional stakeholders.,Mitigation In Progress,2025-11-13,True,False,False,5
RISK-PMO-0072-04,PMO-0072,Operational,Required resources may not be available on time.,3,3,9,Medium,Allison Hill,Increase reporting cadence until risk is reduced.,Closed,2025-11-02,False,False,False,0
RISK-PMO-0073-01,PMO-0073,Technology,Key stakeholder decisions may be delayed.,3,1,3,Low,Gabrielle Davis,Coordinate mitigation with cross-functional stakeholders.,Open,2025-08-28,True,False,False,3
RISK-PMO-0073-02,PMO-0073,Scope,Required resources may not be available on time.,1,2,2,Low,Gabrielle Davis,Validate assumptions with process owners.,Mitigation In Progress,2025-06-09,True,False,False,2
RISK-PMO-0073-03,PMO-0073,Compliance,Budget consumption may exceed the approved plan.,3,2,6,Medium,Gabrielle Davis,Assign dedicated owner and review weekly.,Closed,2025-07-14,False,False,False,0
RISK-PMO-0073-04,PMO-0073,Schedule,System integration complexity may increase implementation effort.,1,3,3,Low,Gabrielle Davis,Create corrective action plan with target completion date.,Escalated,2025-08-31,True,False,True,3
RISK-PMO-0074-01,PMO-0074,Technology,Project scope may expand beyond the original baseline.,4,1,4,Low,Michele Williams,Create corrective action plan with target completion date.,Closed,2025-12-29,False,False,False,0
RISK-PMO-0074-02,PMO-0074,Schedule,Key stakeholder decisions may be delayed.,2,5,10,Medium,Michele Williams,Validate assumptions with process owners.,Open,2026-03-26,True,False,False,10
RISK-PMO-0074-03,PMO-0074,Resource,Process owners may not complete validation on schedule.,3,1,3,Low,Michele Williams,Review budget and timeline impact with sponsor.,Accepted,2026-02-21,True,False,False,3
RISK-PMO-0076-01,PMO-0076,Compliance,Data quality issues may delay reporting readiness.,4,1,4,Low,Abigail Shaffer,Assign dedicated owner and review weekly.,Closed,2026-04-09,False,False,False,0
RISK-PMO-0076-02,PMO-0076,Resource,Project scope may expand beyond the original baseline.,3,2,6,Medium,Abigail Shaffer,Review budget and timeline impact with sponsor.,Mitigation In Progress,2026-04-13,True,False,False,6
RISK-PMO-0077-01,PMO-0077,Resource,System integration complexity may increase implementation effort.,4,3,12,Medium,Michele Williams,Review budget and timeline impact with sponsor.,Closed,2026-07-07,False,False,False,0
RISK-PMO-0078-01,PMO-0078,Budget,Operational workload may limit project execution capacity.,4,2,8,Medium,Daniel Wagner,Create corrective action plan with target completion date.,Closed,2025-04-10,False,False,False,0
RISK-PMO-0078-02,PMO-0078,Resource,Supplier response time may affect delivery dates.,4,3,12,Medium,Daniel Wagner,Coordinate mitigation with cross-functional stakeholders.,Open,2025-05-08,True,False,False,12
RISK-PMO-0079-01,PMO-0079,Operational,Budget consumption may exceed the approved plan.,1,2,2,Low,Gabrielle Davis,Review budget and timeline impact with sponsor.,Mitigation In Progress,2026-07-07,True,False,False,2
RISK-PMO-0079-02,PMO-0079,Scope,System integration complexity may increase implementation effort.,1,3,3,Low,Gabrielle Davis,Increase reporting cadence until risk is reduced.,Open,2026-07-07,True,False,False,3
RISK-PMO-0079-03,PMO-0079,Stakeholder,Project scope may expand beyond the original baseline.,3,1,3,Low,Gabrielle Davis,Validate assumptions with process owners.,Closed,2026-07-07,False,False,False,0
RISK-PMO-0080-01,PMO-0080,Compliance,Required resources may not be available on time.,4,5,20,High,Abigail Shaffer,Escalate blocker during PMO review meeting.,Open,2025-06-03,True,True,False,20
RISK-PMO-0080-02,PMO-0080,Resource,Process owners may not complete validation on schedule.,4,5,20,High,Abigail Shaffer,Review budget and timeline impact with sponsor.,Mitigation In Progress,2025-08-10,True,True,False,20
